time,odometer
2019-07-17T07:48:53.000Z,6172283
2019-07-17T07:49:00.000Z,6172316
2019-07-17T07:49:03.000Z,6172345
2019-07-17T07:49:06.000Z,6172375
2019-07-17T07:49:09.000Z,6172407
2019-07-17T07:49:19.000Z,6172512
2019-07-17T07:49:23.000Z,6172534
2019-07-17T07:49:25.000Z,6172556
2019-07-17T07:49:31.000Z,6172592
2019-07-17T07:50:02.000Z,6172620
2019-07-17T07:50:06.000Z,6172648
2019-07-17T07:50:09.000Z,6172677
2019-07-17T07:50:16.000Z,6172753
2019-07-17T07:50:23.000Z,6172866
2019-07-17T07:50:26.000Z,6172905
2019-07-17T07:50:30.000Z,6172940
2019-07-17T07:50:56.000Z,6172962
2019-07-17T07:51:01.000Z,6172983
2019-07-17T07:51:06.000Z,6173007
2019-07-17T07:51:13.000Z,6173086
2019-07-17T07:51:16.000Z,6173123
2019-07-17T07:51:23.000Z,6173196
2019-07-17T07:51:27.000Z,6173221
2019-07-17T07:51:35.000Z,6173283
2019-07-17T07:51:40.000Z,6173303
2019-07-17T07:51:43.000Z,6173327
2019-07-17T07:51:48.000Z,6173366
2019-07-17T07:51:55.000Z,6173390
2019-07-17T07:51:59.000Z,6173416
2019-07-17T07:52:06.000Z,6173452
2019-07-17T07:52:12.000Z,6173473
2019-07-17T07:52:25.000Z,6173498
2019-07-17T07:52:33.000Z,6173521
2019-07-17T07:53:30.000Z,6173594
2019-07-17T07:54:03.000Z,6173635
2019-07-17T07:56:40.000Z,6173643
2019-07-17T08:19:04.000Z,6173653
2019-07-17T12:06:08.000Z,6173668
2019-07-17T12:07:13.000Z,6173671
2019-07-17T12:10:11.000Z,6173672
2019-07-17T13:39:15.000Z,6173685
2019-07-17T13:39:26.010Z,6173692
2019-07-17T13:40:09.000Z,6173713
2019-07-17T13:40:20.000Z,6173737
2019-07-17T13:40:28.000Z,6173768
2019-07-17T13:40:34.000Z,6173792
2019-07-17T13:40:37.000Z,6173814
2019-07-17T13:40:48.000Z,6173903
2019-07-17T13:40:53.000Z,6173924
2019-07-17T13:40:57.000Z,6173953
2019-07-17T13:41:05.000Z,6173985
2019-07-17T13:41:18.000Z,6174018
2019-07-17T13:41:24.000Z,6174055
2019-07-17T13:41:33.000Z,6174149
2019-07-17T13:41:36.000Z,6174181
2019-07-17T13:41:40.000Z,6174235
2019-07-17T13:41:42.000Z,6174265
2019-07-17T13:41:44.000Z,6174292
2019-07-17T13:41:52.000Z,6174390
2019-07-17T13:42:00.000Z,6174503
2019-07-17T13:42:07.000Z,6174607
2019-07-17T13:42:14.000Z,6174712
2019-07-17T13:42:16.000Z,6174735
2019-07-17T13:42:45.000Z,6174756
2019-07-17T13:42:48.000Z,6174782
2019-07-17T13:42:50.000Z,6174810
2019-07-17T13:42:52.000Z,6174837
2019-07-17T13:42:59.000Z,6174939
2019-07-17T13:43:04.000Z,6174998
2019-07-17T13:43:06.000Z,6175023
2019-07-17T13:43:22.000Z,6175045
2019-07-17T13:43:27.000Z,6175065
2019-07-17T13:43:33.000Z,6175098
2019-07-17T13:43:36.000Z,6175122
2019-07-17T13:43:48.000Z,6175204
2019-07-17T13:43:56.000Z,6175272
2019-07-17T13:43:58.000Z,6175305
2019-07-17T13:44:02.000Z,6175386
2019-07-17T13:44:05.000Z,6175457
2019-07-17T13:44:10.000Z,6175568
2019-07-17T13:44:14.000Z,6175668
2019-07-17T13:44:18.000Z,6175777
2019-07-17T13:44:22.000Z,6175890
2019-07-17T13:44:25.000Z,6175980
2019-07-17T13:44:26.000Z,6176008
2019-07-17T13:44:30.000Z,6176116
2019-07-17T13:44:34.000Z,6176220
2019-07-17T13:44:38.000Z,6176329
2019-07-17T13:44:43.000Z,6176446
2019-07-17T13:44:47.000Z,6176531
2019-07-17T13:44:52.000Z,6176621
2019-07-17T13:44:56.000Z,6176687
2019-07-17T13:44:58.000Z,6176715
2019-07-17T13:45:02.000Z,6176776
2019-07-17T13:45:06.000Z,6176834
2019-07-17T13:45:08.000Z,6176864
2019-07-17T13:45:11.000Z,6176910
2019-07-17T13:45:13.000Z,6176940
2019-07-17T13:45:20.000Z,6177043
2019-07-17T13:45:22.000Z,6177074
2019-07-17T13:45:24.000Z,6177107
2019-07-17T13:45:31.000Z,6177222
2019-07-17T13:45:37.000Z,6177322
2019-07-17T13:45:43.000Z,6177410
2019-07-17T13:45:52.000Z,6177521
2019-07-17T13:46:00.000Z,6177625
2019-07-17T13:46:08.000Z,6177730
2019-07-17T13:46:16.000Z,6177836
2019-07-17T13:46:24.000Z,6177938
2019-07-17T13:46:29.000Z,6178001
2019-07-17T13:46:38.000Z,6178112
2019-07-17T13:46:46.000Z,6178218
2019-07-17T13:46:49.000Z,6178255
2019-07-17T13:46:51.000Z,6178281
2019-07-17T13:46:57.000Z,6178347
2019-07-17T13:47:05.000Z,6178443
2019-07-17T13:47:08.000Z,6178483
2019-07-17T13:47:15.000Z,6178580
2019-07-17T13:47:20.000Z,6178650
2019-07-17T13:47:26.000Z,6178733
2019-07-17T13:47:33.000Z,6178843
2019-07-17T13:47:39.000Z,6178960
2019-07-17T13:47:44.000Z,6179066
2019-07-17T13:47:49.000Z,6179175
2019-07-17T13:47:54.000Z,6179282
2019-07-17T13:47:58.000Z,6179362
2019-07-17T13:48:01.000Z,6179424
2019-07-17T13:48:07.000Z,6179533
2019-07-17T13:48:14.000Z,6179646
2019-07-17T13:48:21.000Z,6179751
2019-07-17T13:48:27.000Z,6179854
2019-07-17T13:48:31.000Z,6179937
2019-07-17T13:48:37.000Z,6180051
2019-07-17T13:48:42.000Z,6180153
2019-07-17T13:48:47.000Z,6180262
2019-07-17T13:48:52.000Z,6180380
2019-07-17T13:48:57.000Z,6180503
2019-07-17T13:49:02.000Z,6180626
2019-07-17T13:49:07.000Z,6180746
2019-07-17T13:49:12.000Z,6180867
2019-07-17T13:49:17.000Z,6180983
2019-07-17T13:49:22.000Z,6181096
2019-07-17T13:49:27.000Z,6181204
2019-07-17T13:49:31.000Z,6181288
2019-07-17T13:49:36.000Z,6181389
2019-07-17T13:49:41.000Z,6181492
2019-07-17T13:49:45.000Z,6181575
2019-07-17T13:49:50.000Z,6181679
2019-07-17T13:49:55.000Z,6181790
2019-07-17T13:50:01.000Z,6181901
2019-07-17T13:50:04.000Z,6181968
2019-07-17T13:50:09.000Z,6182084
2019-07-17T13:50:13.000Z,6182175
2019-07-17T13:50:18.000Z,6182282
2019-07-17T13:50:23.000Z,6182391
2019-07-17T13:50:29.000Z,6182504
2019-07-17T13:50:31.000Z,6182539
2019-07-17T13:50:35.000Z,6182611
2019-07-17T13:50:38.000Z,6182670
2019-07-17T13:50:44.000Z,6182788
2019-07-17T13:50:47.000Z,6182850
2019-07-17T13:50:50.000Z,6182917
2019-07-17T13:50:53.000Z,6182986
2019-07-17T13:50:57.000Z,6183086
2019-07-17T13:51:01.000Z,6183188
2019-07-17T13:51:03.000Z,6183239
2019-07-17T13:51:06.000Z,6183317
2019-07-17T13:51:08.000Z,6183391
2019-07-17T13:51:12.000Z,6183494
2019-07-17T13:51:17.000Z,6183596
2019-07-17T13:51:20.000Z,6183674
2019-07-17T13:51:24.000Z,6183778
2019-07-17T13:51:27.000Z,6183847
2019-07-17T13:51:30.000Z,6183920
2019-07-17T13:51:35.000Z,6184043
2019-07-17T13:51:38.000Z,6184139
2019-07-17T13:51:40.000Z,6184162
2019-07-17T13:51:42.000Z,6184217
2019-07-17T13:51:46.000Z,6184331
2019-07-17T13:51:49.000Z,6184406
2019-07-17T13:51:52.000Z,6184513
2019-07-17T13:51:55.000Z,6184561
2019-07-17T13:51:59.000Z,6184682
2019-07-17T13:52:01.000Z,6184705
2019-07-17T13:52:03.000Z,6184729
2019-07-17T13:52:05.000Z,6184756
2019-07-17T13:52:05.010Z,6184791
2019-07-17T13:52:06.000Z,6184833
2019-07-17T13:52:08.000Z,6184911
2019-07-17T13:52:10.000Z,6184987
2019-07-17T13:52:13.000Z,6185091
2019-07-17T13:52:15.000Z,6185165
2019-07-17T13:52:18.000Z,6185267
2019-07-17T13:52:22.000Z,6185390
2019-07-17T13:52:26.000Z,6185497
2019-07-17T13:52:27.000Z,6185524
2019-07-17T13:52:31.000Z,6185627
2019-07-17T13:52:35.000Z,6185731
2019-07-17T13:52:39.000Z,6185834
2019-07-17T13:52:41.000Z,6185875
2019-07-17T13:52:43.000Z,6185929
2019-07-17T13:52:45.000Z,6185979
2019-07-17T13:52:47.000Z,6186039
2019-07-17T13:52:49.000Z,6186105
2019-07-17T13:52:53.000Z,6186227
2019-07-17T13:52:57.000Z,6186345
2019-07-17T13:53:01.000Z,6186458
2019-07-17T13:53:05.000Z,6186571
2019-07-17T13:53:07.000Z,6186628
2019-07-17T13:53:12.000Z,6186758
2019-07-17T13:53:16.000Z,6186875
2019-07-17T13:53:21.000Z,6186989
2019-07-17T13:53:24.000Z,6187050
2019-07-17T13:53:30.000Z,6187159
2019-07-17T13:53:32.000Z,6187191
2019-07-17T13:53:35.000Z,6187242
2019-07-17T13:53:38.000Z,6187293
2019-07-17T13:53:44.000Z,6187384
2019-07-17T13:53:47.000Z,6187426
2019-07-17T13:53:52.000Z,6187500
2019-07-17T13:54:00.000Z,6187611
2019-07-17T13:54:08.000Z,6187723
2019-07-17T13:54:16.000Z,6187833
2019-07-17T13:54:22.000Z,6187926
2019-07-17T13:54:28.000Z,6188044
2019-07-17T13:54:31.000Z,6188093
2019-07-17T13:54:36.000Z,6188123
2019-07-17T13:54:39.000Z,6188144
2019-07-17T13:54:41.000Z,6188176
2019-07-17T13:54:44.000Z,6188232
2019-07-17T13:54:46.000Z,6188282
2019-07-17T13:54:50.000Z,6188389
2019-07-17T13:54:54.000Z,6188506
2019-07-17T13:54:58.000Z,6188629
2019-07-17T13:55:02.000Z,6188752
2019-07-17T13:55:06.000Z,6188877
2019-07-17T13:55:10.000Z,6189001
2019-07-17T13:55:14.000Z,6189120
2019-07-17T13:55:18.000Z,6189233
2019-07-17T13:55:22.000Z,6189340
2019-07-17T13:55:26.000Z,6189453
2019-07-17T13:55:30.000Z,6189567
2019-07-17T13:55:34.000Z,6189679
2019-07-17T13:55:38.000Z,6189785
2019-07-17T13:55:42.000Z,6189892
2019-07-17T13:55:46.000Z,6190002
2019-07-17T13:55:50.000Z,6190105
2019-07-17T13:55:54.000Z,6190207
2019-07-17T13:55:58.000Z,6190314
2019-07-17T13:56:02.000Z,6190422
2019-07-17T13:56:06.000Z,6190529
2019-07-17T13:56:10.000Z,6190637
2019-07-17T13:56:14.000Z,6190743
2019-07-17T13:56:18.000Z,6190848
2019-07-17T13:56:22.000Z,6190950
2019-07-17T13:56:26.000Z,6191051
2019-07-17T13:56:30.000Z,6191151
2019-07-17T13:56:35.000Z,6191277
2019-07-17T13:56:39.000Z,6191378
2019-07-17T13:56:43.000Z,6191479
2019-07-17T13:56:47.000Z,6191584
2019-07-17T13:56:51.000Z,6191694
2019-07-17T13:56:55.000Z,6191807
2019-07-17T13:56:59.000Z,6191918
2019-07-17T13:57:03.000Z,6192019
2019-07-17T13:57:07.000Z,6192125
2019-07-17T13:57:11.000Z,6192238
2019-07-17T13:57:15.000Z,6192346
2019-07-17T13:57:20.000Z,6192464
2019-07-17T13:57:24.000Z,6192542
2019-07-17T13:57:27.000Z,6192585
2019-07-17T13:57:31.000Z,6192617
2019-07-17T13:57:35.000Z,6192644
2019-07-17T13:57:41.000Z,6192707
2019-07-17T13:57:43.000Z,6192728
2019-07-17T13:57:46.000Z,6192761
2019-07-17T13:57:53.000Z,6192847
2019-07-17T13:58:00.000Z,6192925
2019-07-17T13:58:06.000Z,6192980
2019-07-17T13:58:09.000Z,6193005
2019-07-17T13:58:13.000Z,6193040
2019-07-17T13:58:17.000Z,6193085
2019-07-17T13:58:21.000Z,6193126
2019-07-17T13:58:24.000Z,6193157
2019-07-17T13:58:34.000Z,6193264
2019-07-17T13:58:41.000Z,6193331
2019-07-17T13:58:47.000Z,6193387
2019-07-17T13:58:57.000Z,6193473
2019-07-17T13:59:13.000Z,6193578
2019-07-17T13:59:25.000Z,6193659
2019-07-17T13:59:42.000Z,6193743
2019-07-17T14:00:11.000Z,6193763
2019-07-17T14:03:11.000Z,6193773
2019-07-17T15:49:54.000Z,6193796
2019-07-17T15:50:15.000Z,6193803
2019-07-17T15:50:23.000Z,6193854
2019-07-17T15:50:30.000Z,6193919
2019-07-17T15:50:41.000Z,6194025
2019-07-17T15:50:44.000Z,6194048
2019-07-17T15:50:53.000Z,6194121
2019-07-17T15:50:57.000Z,6194151
2019-07-17T15:51:02.000Z,6194194
2019-07-17T15:51:08.000Z,6194253
2019-07-17T15:51:16.000Z,6194308
2019-07-17T15:51:25.000Z,6194415
2019-07-17T15:51:27.000Z,6194438
