time,odometer
2018-11-06T15:53:03.000Z,6962761
2018-11-06T15:53:54.000Z,6962768
2018-11-06T15:53:55.000Z,6962771
2018-11-06T15:53:56.000Z,6962776
2018-11-06T15:53:58.000Z,6962788
2018-11-06T15:54:08.000Z,6962701
2018-11-06T15:54:11.000Z,6962706
2018-11-06T15:55:11.000Z,6962707
2018-11-06T15:55:30.000Z,6962712
2018-11-06T15:55:31.000Z,6962719
2018-11-06T15:55:33.000Z,6962738
2018-11-06T15:55:42.000Z,6962830
2018-11-06T15:55:45.000Z,6962872
2018-11-06T15:55:48.000Z,6962915
2018-11-06T15:55:54.000Z,6963024
2018-11-06T15:56:00.000Z,6963130
2018-11-06T15:56:06.000Z,6963236
2018-11-06T15:56:12.000Z,6963340
2018-11-06T15:56:18.000Z,6963447
2018-11-06T15:56:24.000Z,6963559
2018-11-06T15:56:30.000Z,6963662
2018-11-06T15:56:34.000Z,6963732
2018-11-06T15:56:39.000Z,6963825
2018-11-06T15:56:44.000Z,6963930
2018-11-06T15:56:50.000Z,6964032
2018-11-06T15:56:53.000Z,6964106
2018-11-06T15:56:58.000Z,6964195
2018-11-06T15:57:04.000Z,6964296
2018-11-06T15:57:10.000Z,6964396
2018-11-06T15:57:16.000Z,6964507
2018-11-06T15:57:22.000Z,6964623
2018-11-06T15:57:28.000Z,6964721
2018-11-06T15:57:32.000Z,6964802
2018-11-06T15:57:39.000Z,6964879
2018-11-06T15:57:48.000Z,6964978
2018-11-06T15:57:55.000Z,6965096
2018-11-06T15:57:58.000Z,6965127
2018-11-06T15:58:01.000Z,6965174
2018-11-06T15:58:09.000Z,6965245
2018-11-06T15:58:10.000Z,6965253
2018-11-06T15:58:12.000Z,6965277
2018-11-06T15:58:14.000Z,6965283
2018-11-06T15:58:19.000Z,6965322
2018-11-06T15:58:29.000Z,6965431
2018-11-06T15:58:34.000Z,6965454
2018-11-06T15:58:38.000Z,6965462
2018-11-06T15:58:49.000Z,6965467
2018-11-06T15:58:50.000Z,6965470
2018-11-06T15:58:51.000Z,6965474
2018-11-06T15:58:56.000Z,6965495
2018-11-06T15:59:04.000Z,6965550
2018-11-06T15:59:05.000Z,6965554
2018-11-06T15:59:06.000Z,6965558
2018-11-06T15:59:07.000Z,6965561
2018-11-06T15:59:21.000Z,6965565
2018-11-06T15:59:22.000Z,6965567
2018-11-06T15:59:29.000Z,6965592
2018-11-06T16:00:29.000Z,6965598
2018-11-06T16:05:36.000Z,6965608
2018-11-06T16:06:30.000Z,6965630
2018-11-06T16:07:30.000Z,6965638
2018-11-06T16:07:40.000Z,6965712
2018-11-06T16:07:42.000Z,6965725
2018-11-06T16:07:46.000Z,6965706
2018-11-06T16:07:48.000Z,6965717
2018-11-06T16:07:53.000Z,6965728
2018-11-06T16:07:55.000Z,6965733
2018-11-06T16:07:56.000Z,6965736
2018-11-06T16:07:57.000Z,6965739
2018-11-06T16:08:03.000Z,6965758
2018-11-06T16:08:29.000Z,6965764
2018-11-06T16:08:37.000Z,6965787
2018-11-06T16:08:42.000Z,6965792
2018-11-06T16:08:59.000Z,6965848
2018-11-06T16:09:15.000Z,6965853
2018-11-06T16:09:18.000Z,6965868
2018-11-06T16:09:22.000Z,6965892
2018-11-06T16:09:32.000Z,6965994
2018-11-06T16:09:41.000Z,6966076
2018-11-06T16:09:44.000Z,6966094
2018-11-06T16:09:52.000Z,6966124
2018-11-06T16:10:05.000Z,6966219
2018-11-06T16:10:07.000Z,6966224
2018-11-06T16:10:29.000Z,6966228
2018-11-06T16:10:31.000Z,6966240
2018-11-06T16:10:36.000Z,6966268
2018-11-06T16:10:39.000Z,6966294
2018-11-06T16:10:49.000Z,6966398
2018-11-06T16:11:01.000Z,6966504
2018-11-06T16:11:13.000Z,6966599
2018-11-06T16:11:17.000Z,6966639
2018-11-06T16:11:19.000Z,6966653
2018-11-06T16:11:21.000Z,6966662
2018-11-06T16:11:34.000Z,6966664
2018-11-06T16:11:35.000Z,6966666
2018-11-06T16:11:36.000Z,6966668
2018-11-06T16:11:38.000Z,6966671
2018-11-06T16:12:38.000Z,6966677
2018-11-06T16:57:59.000Z,6966692
2018-11-06T16:58:00.000Z,6966697
2018-11-06T16:58:04.000Z,6966727
2018-11-06T16:58:11.000Z,6966721
2018-11-06T16:58:21.000Z,6966824
2018-11-06T16:58:32.000Z,6966921
2018-11-06T16:58:34.000Z,6966933
2018-11-06T16:58:36.000Z,6966938
2018-11-06T16:58:42.000Z,6966940
2018-11-06T16:58:43.000Z,6966943
2018-11-06T16:58:47.000Z,6966973
2018-11-06T16:58:54.000Z,6967014
2018-11-06T16:58:57.000Z,6967040
2018-11-06T16:59:13.000Z,6967146
2018-11-06T16:59:26.000Z,6967245
2018-11-06T16:59:30.000Z,6967281
2018-11-06T16:59:33.000Z,6967317
2018-11-06T16:59:34.000Z,6967326
2018-11-06T16:59:36.000Z,6967332
2018-11-06T17:00:36.000Z,6967332
2018-11-06T17:00:52.000Z,6967336
2018-11-06T17:00:54.000Z,6967347
2018-11-06T17:00:55.000Z,6967352
2018-11-06T17:00:56.000Z,6967356
2018-11-06T17:00:57.000Z,6967360
2018-11-06T17:00:58.000Z,6967357
2018-11-06T17:01:00.000Z,6967368
2018-11-06T17:01:03.000Z,6967397
