time,odometer
2018-11-06T15:53:03.000Z,6962761
2018-11-06T15:53:54.000Z,6962768
2018-11-06T15:53:55.000Z,6962771
2018-11-06T15:53:56.000Z,6962776
2018-11-06T15:53:58.000Z,6962788
2018-11-06T15:54:08.000Z,6962701
2018-11-06T15:54:11.000Z,6962706
2018-11-06T15:55:11.000Z,6962707
2018-11-06T15:55:30.000Z,6962712
2018-11-06T15:55:31.000Z,6962719
2018-11-06T15:55:33.000Z,6962738
2018-11-06T15:55:42.000Z,6962830
2018-11-06T15:55:45.000Z,6962872
2018-11-06T15:55:48.000Z,6962915
2018-11-06T15:55:54.000Z,6963024
2018-11-06T15:56:00.000Z,6963130
2018-11-06T15:56:06.000Z,6963236
2018-11-06T15:56:12.000Z,6963340
2018-11-06T15:56:18.000Z,6963447
2018-11-06T15:56:24.000Z,6963559
2018-11-06T15:56:30.000Z,6963662
2018-11-06T15:56:34.000Z,6963732
2018-11-06T15:56:39.000Z,6963825
2018-11-06T15:56:44.000Z,6963930
2018-11-06T15:56:50.000Z,6964032
2018-11-06T15:56:53.000Z,6964106
2018-11-06T15:56:58.000Z,6964195
2018-11-06T15:57:04.000Z,6964296
2018-11-06T15:57:10.000Z,6964396
2018-11-06T15:57:16.000Z,6964507
2018-11-06T15:57:22.000Z,6964623
2018-11-06T15:57:28.000Z,6964721
2018-11-06T15:57:32.000Z,6964802
2018-11-06T15:57:39.000Z,6964879
2018-11-06T15:57:48.000Z,6964978
2018-11-06T15:57:55.000Z,6965096
2018-11-06T15:57:58.000Z,6965127
2018-11-06T15:58:01.000Z,6965174
2018-11-06T15:58:09.000Z,6965245
2018-11-06T15:58:10.000Z,6965253
2018-11-06T15:58:12.000Z,6965277
2018-11-06T15:58:14.000Z,6965283
2018-11-06T15:58:19.000Z,6965322
2018-11-06T15:58:29.000Z,6965431
2018-11-06T15:58:34.000Z,6965454
2018-11-06T15:58:38.000Z,6965462
2018-11-06T15:58:49.000Z,6965467
2018-11-06T15:58:50.000Z,6965470
2018-11-06T15:58:51.000Z,6965474
2018-11-06T15:58:56.000Z,6965495
2018-11-06T15:59:04.000Z,6965550
2018-11-06T15:59:05.000Z,6965554
2018-11-06T15:59:06.000Z,6965558
2018-11-06T15:59:07.000Z,6965561
2018-11-06T15:59:21.000Z,6965565
2018-11-06T15:59:22.000Z,6965567
2018-11-06T15:59:29.000Z,6965592
2018-11-06T16:00:29.000Z,6965598
0,0
2018-11-06T15:57:32.000Z,6964802
2018-11-06T15:57:39.000Z,6964879
2018-11-06T15:57:48.000Z,6964978
2018-11-06T15:57:55.000Z,6965096
2018-11-06T15:57:58.000Z,6965127
2018-11-06T15:58:01.000Z,6965174
2018-11-06T15:58:09.000Z,6965245
2018-11-06T15:58:10.000Z,6965253
2018-11-06T15:58:12.000Z,6965277
2018-11-06T15:58:14.000Z,6965283
2018-11-06T15:58:19.000Z,6965322
2018-11-06T15:58:29.000Z,6965431
2018-11-06T15:58:34.000Z,6965454
2018-11-06T15:58:38.000Z,6965462
2018-11-06T15:58:49.000Z,6965467
2018-11-06T15:58:50.000Z,6965470
2018-11-06T15:58:51.000Z,6965474
2018-11-06T15:58:56.000Z,6965495
2018-11-06T15:59:04.000Z,6965550
2018-11-06T15:59:05.000Z,6965554
2018-11-06T15:59:06.000Z,6965558
2018-11-06T15:59:07.000Z,6965561
2018-11-06T15:59:21.000Z,6965565
2018-11-06T15:59:22.000Z,6965567
2018-11-06T15:59:29.000Z,6965592
2018-11-06T16:00:29.000Z,6965598
2018-11-06T16:05:36.000Z,6965608
