time,odometer
2018-11-06T15:59:07.000Z,1
2018-11-06T15:59:21.000Z,2
2018-11-06T15:59:22.000Z,3
2018-11-06T15:59:29.000Z,4
2018-11-06T16:00:29.000Z,5
2018-11-06T15:59:06.000Z,6
2018-11-06T16:00:29.000Z,5
2018-11-06T15:59:07.000Z,7
2018-11-06T16:00:29.000Z,5
2018-11-06T15:59:21.000Z,8
2018-11-06T16:00:29.000Z,5
2018-11-06T15:59:22.000Z,9
2018-11-06T16:00:29.000Z,5
2018-11-06T15:59:29.000Z,10
2018-11-06T16:00:29.000Z,5
2018-11-06T16:00:29.000Z,11
2018-11-06T16:00:29.000Z,5
2018-11-06T16:05:36.000Z,12
